id,dataset,split,aspect_category,sentiment_polarity,mami_shaming,mami_stereotype,mami_objectification,mami_violence,mis_aggressiveDE,mis_ironicDE,mis_misogynisticCS
mami_14220,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3795,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9299,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5593,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_13381,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6958,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_248,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_10812,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1579,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_148,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9359,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10813,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_11382,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8055,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14095,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_10225,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4481,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_4046,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8316,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5639,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8666,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4405,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_9822,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_74,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6655,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7614,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10561,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_9755,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4539,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_5197,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_550,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_7402,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4495,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_8394,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8102,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1031,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_5817,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6062,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10075,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8283,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_4395,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7130,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5320,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10271,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6774,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_14205,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_589,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9868,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9393,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6519,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10303,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11668,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1064,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_584,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9121,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_6585,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3928,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_930,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_3019,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9325,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1268,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_4491,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3902,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_10565,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_1885,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_5020,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5379,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_4234,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1624,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_8602,MAMI,train,Sexual Harassment,negative,1,0,1,0,,,
mami_2382,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_3515,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5301,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8496,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_10674,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_9551,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8776,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8262,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_7869,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_5443,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_6171,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_3172,MAMI,train,Sexual Harassment,negative,1,1,1,0,,,
mami_6381,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_11701,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_1459,MAMI,train,Sexual Harassment,negative,0,1,1,0,,,
mami_7571,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_8540,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
mami_9303,MAMI,train,Sexual Harassment,negative,0,0,1,0,,,
